crime_type,day_of_week,time_of_day,crime_frequency
Simple Assault,Thursday,afternoon,0.043021201413427565
Simple Assault,Thursday,evening,0.049690812720848056
Simple Assault,Friday,early_morning,0.022173144876325088
Simple Assault,Friday,late_morning,0.02168727915194346
Simple Assault,Friday,afternoon,0.04628975265017668
Simple Assault,Friday,evening,0.05653710247349823
Simple Assault,Saturday,early_morning,0.03573321554770318
Simple Assault,Saturday,late_morning,0.023454063604240283
Simple Assault,Saturday,afternoon,0.04209363957597173
Simple Assault,Saturday,evening,0.05790636042402827
Simple Assault,Sunday,early_morning,0.0446113074204947
Simple Assault,Sunday,late_morning,0.019964664310954065
Simple Assault,Sunday,afternoon,0.04456713780918728
Simple Assault,Sunday,evening,0.04964664310954064
Robbery,Monday,early_morning,0.027104722792607804
Robbery,Monday,late_morning,0.020123203285420943
Robbery,Monday,afternoon,0.02751540041067762
Robbery,Monday,evening,0.06201232032854209
Robbery,Tuesday,early_morning,0.026283367556468172
Robbery,Tuesday,late_morning,0.025872689938398356
Robbery,Tuesday,afternoon,0.030390143737166326
Robbery,Tuesday,evening,0.05872689938398357
Robbery,Wednesday,early_morning,0.02792607802874743
Robbery,Wednesday,late_morning,0.020123203285420943
Robbery,Wednesday,afternoon,0.03367556468172485
Robbery,Wednesday,evening,0.061601642710472276
Robbery,Thursday,early_morning,0.026694045174537988
Robbery,Thursday,late_morning,0.013141683778234086
Robbery,Thursday,afternoon,0.02792607802874743
Robbery,Thursday,evening,0.052566735112936344
Robbery,Friday,early_morning,0.026694045174537988
Robbery,Friday,late_morning,0.021765913757700206
Robbery,Friday,afternoon,0.040246406570841886
Robbery,Friday,evening,0.07145790554414784
Robbery,Saturday,early_morning,0.038193018480492814
Robbery,Saturday,late_morning,0.019301848049281315
Robbery,Saturday,afternoon,0.031211498973305954
Robbery,Saturday,evening,0.06611909650924025
Robbery,Sunday,early_morning,0.03942505133470226
Robbery,Sunday,late_morning,0.015605749486652977
Robbery,Sunday,afternoon,0.03490759753593429
Robbery,Sunday,evening,0.053388090349075976
Drug/Narcotic Violations,Monday,early_morning,0.021094175285792053
Drug/Narcotic Violations,Monday,late_morning,0.017487751769188896
Drug/Narcotic Violations,Monday,afternoon,0.051850843767011434
Drug/Narcotic Violations,Monday,evening,0.04252857920522591
Drug/Narcotic Violations,Tuesday,early_morning,0.021774632553075667
Drug/Narcotic Violations,Tuesday,late_morning,0.02054980947196516
Drug/Narcotic Violations,Tuesday,afternoon,0.04817637452367991
Drug/Narcotic Violations,Tuesday,evening,0.0409635274904736
Drug/Narcotic Violations,Wednesday,early_morning,0.02388405008165487
Drug/Narcotic Violations,Wednesday,late_morning,0.02803483941208492
Drug/Narcotic Violations,Wednesday,afternoon,0.06403102885138813
Drug/Narcotic Violations,Wednesday,evening,0.06804572672836146
Drug/Narcotic Violations,Thursday,early_morning,0.025108873162765378
Drug/Narcotic Violations,Thursday,late_morning,0.02463255307566685
Drug/Narcotic Violations,Thursday,afternoon,0.055117038649972784
Drug/Narcotic Violations,Thursday,evening,0.053347849755035384
Drug/Narcotic Violations,Friday,early_morning,0.025313010342950464
Drug/Narcotic Violations,Friday,late_morning,0.0261295590636908
Drug/Narcotic Violations,Friday,afternoon,0.05035383777898748
Drug/Narcotic Violations,Friday,evening,0.05763473053892216
Drug/Narcotic Violations,Saturday,early_morning,0.030620577027762656
Drug/Narcotic Violations,Saturday,late_morning,0.013200870985302123
Drug/Narcotic Violations,Saturday,afternoon,0.029940119760479042
Drug/Narcotic Violations,Saturday,evening,0.051578660860097984
Drug/Narcotic Violations,Sunday,early_morning,0.027422427871529667
Drug/Narcotic Violations,Sunday,late_morning,0.011363636363636364
Drug/Narcotic Violations,Sunday,afternoon,0.03021230266739249
Drug/Narcotic Violations,Sunday,evening,0.03960261295590637
Motor Vehicle Theft,Monday,early_morning,0.02365795724465558
Motor Vehicle Theft,Monday,late_morning,0.03809976247030879
Motor Vehicle Theft,Monday,afternoon,0.041140142517814726
Motor Vehicle Theft,Monday,evening,0.04199524940617577
Motor Vehicle Theft,Tuesday,early_morning,0.02508313539192399
Motor Vehicle Theft,Tuesday,late_morning,0.03809976247030879
Motor Vehicle Theft,Tuesday,afternoon,0.03695961995249406
Motor Vehicle Theft,Tuesday,evening,0.047410926365795726
Motor Vehicle Theft,Wednesday,early_morning,0.027078384798099764
Motor Vehicle Theft,Wednesday,late_morning,0.03458432304038005
Motor Vehicle Theft,Wednesday,afternoon,0.03676959619952494
Motor Vehicle Theft,Wednesday,evening,0.044465558194774345
Motor Vehicle Theft,Thursday,early_morning,0.020712589073634203
Motor Vehicle Theft,Thursday,late_morning,0.029358669833729215
Motor Vehicle Theft,Thursday,afternoon,0.03667458432304038
Motor Vehicle Theft,Thursday,evening,0.043705463182897863
Motor Vehicle Theft,Friday,early_morning,0.02641330166270784
