year,theater,aircraft,abs_mission_count,relative_mission_count_theater_year,relative_mission_count_aircraft_year
1943,PTO,B25,1012,0.26395409494001043,0.15974743488555643
1942,PTO,B26,139,0.11720067453625632,0.6556603773584906
1943,PTO,B26,59,0.015388628064684403,0.2783018867924528
1944,PTO,B26,11,0.0007099064214262666,0.05188679245283019
1945,PTO,B26,3,0.0001916320664324497,0.014150943396226415
1943,ETO,B26,474,0.063735377168213,0.05443895716090502
1945,ETO,B26,3686,0.17136215713621572,0.42333754450442174
1944,ETO,B26,4545,0.09639448568398727,0.521993798093488
1942,ETO,B26,2,0.0005616399887672002,0.00022970024118525325
1945,MTO,B26,4,0.0004511108604939664,0.00149812734082397
1944,MTO,B26,1700,0.1644418649642097,0.6367041198501873
1943,MTO,B26,944,0.09484577514317291,0.3535580524344569
1942,MTO,B26,22,0.03076923076923077,0.008239700374531835
1945,CBI,B29,48,0.012664907651715039,0.375
1944,CBI,B29,80,0.012163600425726015,0.625
1944,PTO,B29,268,0.01729590190383995,0.11213389121338913
1945,PTO,B29,2122,0.13554774832321942,0.8878661087866109
1945,CBI,B32,2,0.0005277044854881266,1.0
1945,PTO,B32,10,0.0006387735547748323,1.0
1942,MTO,BALT,1,0.0013986013986013986,1.0
1940,ETO,BATT,20,0.003064194882794546,1.0
1940,MTO,BATT,1,0.005319148936170213,1.0
1942,PTO,BEAU,1,0.0008431703204047217,1.0
1942,MTO,BEAU,1,0.0013986013986013986,1.0
1942,MTO,BEAUF,1,0.0013986013986013986,1.0
1942,PTO,BEAUF,11,0.00927487352445194,1.0
1943,CBI,BISLEY,1,0.0006435006435006435,1.0
1942,MTO,BLEN,10,0.013986013986013986,0.046296296296296294
1943,ETO,BLEN,2,0.0002689256420599704,0.0007487832272557095
1939,ETO,BLEN,2,0.04878048780487805,0.0007487832272557095
1940,ETO,BLEN,1877,0.2875746897502681,0.7027330587794833
1945,ETO,BLEN,1,4.649000464900047e-05,0.00037439161362785476
1941,ETO,BLEN,733,0.07634621393604833,0.27442905278921753
1941,MTO,BLEN,169,0.4092009685230024,0.7824074074074074
1942,CBI,BLEN,189,0.4247191011235955,0.984375
1944,ETO,BLEN,2,4.241781548250265e-05,0.0007487832272557095
1942,ETO,BLEN,54,0.015164279696714406,0.020217147135904157
1940,MTO,BLEN,37,0.19680851063829788,0.1712962962962963
1943,CBI,BLEN,3,0.0019305019305019305,0.015625
1940,MTO,BOM,1,0.005319148936170213,1.0
1942,MTO,BOST,17,0.023776223776223775,1.0
1942,PTO,CATALINA,109,0.09190556492411467,1.0
1945,PTO,F06,5,0.00031938677738741617,0.2631578947368421
1944,PTO,F06,14,0.0009035172636334301,0.7368421052631579
1945,CBI,F06,42,0.01108179419525066,1.0
1944,PTO,F4U,104,0.006711842529848338,0.2880886426592798
1945,PTO,F4U,257,0.01641648035771319,0.7119113573407202
1942,ETO,GB17,50,0.014040999719180006,0.005654189754608165
1943,MTO,GB17,30,0.003014166582939817,0.6
1944,MTO,GB17,18,0.0017411491584445734,0.36
1942,MTO,GB17,2,0.002797202797202797,0.04
1943,ETO,GB17,701,0.09425843754201964,0.07927174035960646
1944,ETO,GB17,6187,0.13121951219512196,0.6996494402352142
1945,ETO,GB17,1905,0.08856345885634588,0.21542462965057108
1943,MTO,GB24,4,0.000401888877725309,0.6666666666666666
1943,ETO,GB24,101,0.013580744924028507,0.0337228714524207
1944,MTO,GB24,2,0.0001934610176049526,0.3333333333333333
1942,ETO,GB24,9,0.002527379949452401,0.003005008347245409
1945,ETO,GB24,505,0.023477452347745235,0.1686143572621035
1944,ETO,GB24,2380,0.05047720042417816,0.7946577629382304
1944,ETO,HALI,3,6.362672322375397e-05,0.011406844106463879
1941,MTO,HALI,4,0.009685230024213076,0.17391304347826086
1942,MTO,HALI,1,0.0013986013986013986,0.043478260869565216
1940,ETO,HALI,6,0.0009192584648383637,0.022813688212927757
1943,MTO,HALI,18,0.0018084999497638902,0.782608695652174
1942,ETO,HALI,8,0.002246559955068801,0.030418250950570342
1941,ETO,HALI,246,0.025622331007186753,0.935361216730038
1944,ETO,HAMP,8,0.0001696712619300106,0.0022541561003099463
1941,ETO,HAMP,2180,0.22705968128319967,0.6142575373344604
1939,ETO,HAMP,1,0.024390243902439025,0.0002817695125387433
1940,ETO,HAMP,1344,0.20591389612379346,0.378698224852071
1942,ETO,HAMP,13,0.0036506599269868017,0.003663003663003663
1943,ETO,HAMP,3,0.0004033884630899556,0.0008453085376162299
1940,MTO,HAMP,1,0.005319148936170213,1.0
1942,CBI,HUDSON,15,0.033707865168539325,0.8333333333333334
1943,CBI,HUDSON,3,0.0019305019305019305,0.16666666666666666
1942,PTO,HUDSON,162,0.13659359190556492,1.0
1943,CBI,HURR,5,0.0032175032175032173,0.07246376811594203
1942,CBI,HURR,4,0.008988764044943821,0.057971014492753624
1944,CBI,HURR,60,0.009122700319294512,0.8695652173913043
1942,ETO,HVY,1052,0.29542263409154734,0.1715310614707321
1943,ETO,HVY,1247,0.16767513782439156,0.20332626773194196
1943,MTO,HVY,76,0.0076358886767808705,0.4840764331210191
1944,ETO,HVY,2675,0.056733828207847295,0.4361650089678787
1945,ETO,HVY,1051,0.04886099488609949,0.17136800913093103
1940,ETO,HVY,1,0.00015320974413972729,0.00016305233980107615
1942,MTO,HVY,81,0.11328671328671329,0.5159235668789809
1941,ETO,HVY,107,0.011144672429955213,0.017446600358715147
1940,MTO,JU86,5,0.026595744680851064,1.0
1942,CBI,LB30,1,0.0022471910112359553,1.0
1942,PTO,LB30,9,0.007588532883642495,1.0
1942,ETO,LGT,618,0.17354675652906487,0.16825483256193846
1944,ETO,LGT,1649,0.034973488865323435,0.4489518105091206
1941,ETO,LGT,23,0.002395583793354859,0.0062619112442145386
1940,ETO,LGT,1,0.00015320974413972729,0.0002722570106180234
1945,ETO,LGT,695,0.032310553231055326,0.18921862237952627
1943,ETO,LGT,687,0.09237595804759983,0.18704056629458207
1944,MTO,LIB,174,0.016831108531630876,0.46524064171123
1943,MTO,LIB,106,0.010650055259720688,0.28342245989304815
1942,PTO,LIB,1,0.0008431703204047217,1.0
1944,ETO,LIB,15,0.0003181336161187699,0.75
1942,CBI,LIB,2,0.0044943820224719105,0.012422360248447204
1944,CBI,LIB,131,0.019917895697126348,0.8136645962732919
1943,CBI,LIB,28,0.018018018018018018,0.17391304347826086
1945,MTO,LIB,16,0.0018044434419758656,0.0427807486631016
1945,ETO,LIB,5,0.00023245002324500232,0.25
1942,MTO,LIB,78,0.10909090909090909,0.20855614973262032
1942,CBI,LYSANDER,9,0.020224719101123594,1.0
1940,ETO,MANC,4,0.0006128389765589091,0.025974025974025976
1941,ETO,MANC,147,0.01531090511405062,0.9545454545454546
